row,column,value,context,item,file,sheet
1,2,Votes,,Ptable_examples-votes,Table Annotation Examples.xlsx,Colombian Elections 2018
1,3,%,,Ptable_examples-percent,Table Annotation Examples.xlsx,Colombian Elections 2018
1,4,Votes,,Ptable_examples-votes,Table Annotation Examples.xlsx,Colombian Elections 2018
1,5,%,,Ptable_examples-percent,Table Annotation Examples.xlsx,Colombian Elections 2018
0,0,No.,,Ptable_examples-no,Table Annotation Examples.xlsx,FC Barcelona Current Squad
0,1,Pos.,,Ptable_examples-pos,Table Annotation Examples.xlsx,FC Barcelona Current Squad
0,2,Nation,,Ptable_examples-nation,Table Annotation Examples.xlsx,FC Barcelona Current Squad
1,0,Water (g),,Ptable_examples-water_g,Table Annotation Examples.xlsx,Comparison of major staples
2,0,Energy (kJ),,Ptable_examples-energy_kj,Table Annotation Examples.xlsx,Comparison of major staples
3,0,Protein (g),,Ptable_examples-protein_g,Table Annotation Examples.xlsx,Comparison of major staples
4,0,Fat (g),,Ptable_examples-fat_g,Table Annotation Examples.xlsx,Comparison of major staples
5,0,Carbohydrates (g),,Ptable_examples-carbohydrates_g,Table Annotation Examples.xlsx,Comparison of major staples
6,0,Fiber (g),,Ptable_examples-fiber_g,Table Annotation Examples.xlsx,Comparison of major staples
7,0,Sugar (g),,Ptable_examples-sugar_g,Table Annotation Examples.xlsx,Comparison of major staples
0,2,City,,Ptable_examples-city,Table Annotation Examples.xlsx,tallest buildings
0,3,Country,,Ptable_examples-country,Table Annotation Examples.xlsx,tallest buildings
0,4,Height,,Ptable_examples-height,Table Annotation Examples.xlsx,tallest buildings
0,5,Floors,,Ptable_examples-floors,Table Annotation Examples.xlsx,tallest buildings
0,6,Built,,Ptable_examples-built,Table Annotation Examples.xlsx,tallest buildings
0,3,Start date,,P580,Table Annotation Examples.xlsx,world tennis players
0,4,End date,,P582,Table Annotation Examples.xlsx,world tennis players
0,3,Market Cap in 2019 (USD billions),,Ptable_examples-market_cap_in_2019_usd_billions,Table Annotation Examples.xlsx,largest biotech
0,4,Market Cap in 2018 (USD billions),,Ptable_examples-market_cap_in_2018_usd_billions,Table Annotation Examples.xlsx,largest biotech
0,5,Market Cap in 2017 (USD billions),,Ptable_examples-market_cap_in_2017_usd_billions,Table Annotation Examples.xlsx,largest biotech
0,6,Market Cap in 2016 (USD billions)[1][2],,Ptable_examples-market_cap_in_2016_usd_billions12,Table Annotation Examples.xlsx,largest biotech
0,7,Market Cap in 2015 (USD billions)[3],,Ptable_examples-market_cap_in_2015_usd_billions3,Table Annotation Examples.xlsx,largest biotech
0,8,Market Cap in 2014 (USD billions)[4],,Ptable_examples-market_cap_in_2014_usd_billions4,Table Annotation Examples.xlsx,largest biotech
0,9,Market Cap in 2013 (USD billions),,Ptable_examples-market_cap_in_2013_usd_billions,Table Annotation Examples.xlsx,largest biotech
